Technologija,IoT mazgų skaičius,PDR (%),PDR std. nuokrypis (%),Pralaidumas (kbps),Pralaidumo std. nuokrypis (kbps),Delsa (ms),Delsos std. nuokrypis (ms)
wifi,1,99.38,0.58,15.9013,0.0932,9.9,1.22
wifi,2,99.0,0.46,31.68,0.1471,26.19,1.45
wifi,3,98.59,0.38,47.3227,0.1816,50.67,1.2
wifi,5,97.95,0.47,78.3627,0.3792,71.34,1.47
wifi,10,95.83,0.47,153.3227,0.7524,122.36,1.04
wifi,20,91.86,0.35,293.944,1.122,224.45,1.54
ble,1,95.2,0.9,11.424,0.1076,21.8,2.31
ble,2,93.41,1.36,22.418,0.3262,45.73,2.12
ble,3,83.42,1.65,30.032,0.5929,95.68,2.58
ble,5,80.75,1.14,48.448,0.6826,141.37,2.52
ble,10,80.08,0.84,96.1,1.0108,256.19,1.98
ble,20,79.92,0.77,191.798,1.8554,487.49,1.47
lora,1,86.67,7.58,0.0139,0.0012,55.13,11.01
lora,2,83.72,5.15,0.0268,0.0016,79.0,8.92
lora,3,81.93,3.4,0.0393,0.0016,111.54,10.48
lora,5,79.09,3.13,0.0633,0.0025,131.53,10.97
lora,10,71.77,2.47,0.1148,0.004,185.39,9.45
lora,20,56.99,1.9,0.1824,0.0061,292.79,12.55
